Sentence,Entity,Output
I would like Italian cuisine,Cuisine,Italian
I'm looking for Chicken,Cuisine,Chicken
From Seremban here,Location,Seremban
I love Cha Chaan Teng food,Cuisine,Cha Chaan Teng
I am currently living in Chachoengsao,Location,Chachoengsao
Let's go for ແມັກຊິໂກ,Cuisine,ແມັກຊິໂກ
I want to try 甜點,Cuisine,甜點
ອາຫານຈີນ is my favorite,Cuisine,ອາຫານຈີນ
I am currently living in Kuala Lumpur,Location,Kuala Lumpur
I love ကြက်ကြော် food,Cuisine,ကြက်ကြော်
My budget is 751,Money,751
I can spend up to 233,Money,233
Let's go for 歐美,Cuisine,歐美
Japanese is my favorite,Cuisine,Japanese
I am currently living in Chaiyaphum,Location,Chaiyaphum
I have around 397 for the meal,Money,397
I'm looking for Cakes,Cuisine,Cakes
From Kamphaeng Phet here,Location,Kamphaeng Phet
I live in Kecskemét,Location,Kecskemét
I have around 382 for the meal,Money,382
Puchong is my location,Location,Puchong
I'm in the mood for German,Cuisine,German
Miri is my place,Location,Miri
I would like Leves cuisine,Cuisine,Leves
I'm willing to pay 390,Money,390
I'm looking for something within 720,Money,720
I have around 71 for the meal,Money,71
I would like Leves cuisine,Cuisine,Leves
From Ubon Ratchathani here,Location,Ubon Ratchathani
Francia is my favorite,Cuisine,Francia
Currently in Dhaka,Location,Dhaka
I'm comfortable spending 500,Money,500
My budget is 670,Money,670
Murree is my current Murree,Location,Murree
I'm ready to spend 938,Money,938
I have 116 to spend,Money,116
My home Kajang is Kajang,Location,Kajang
I'm looking for Bowl,Cuisine,Bowl
I enjoy Szendvics,Cuisine,Szendvics
My home Mymensingh is Mymensingh,Location,Mymensingh
I'm interested in Fried Chicken,Cuisine,Fried Chicken
I'm interested in ကြက်သား,Cuisine,ကြက်သား
My current Quezon City is Quezon City,Location,Quezon City
I'm in the mood for Thai,Cuisine,Thai
Silog is my favorite,Cuisine,Silog
I'm comfortable spending 749,Money,749
I'm in the mood for တရုတ်အစားအစာ,Cuisine,တရုတ်အစားအစာ
I have 800 to spend,Money,800
I enjoy ເຄັກ,Cuisine,ເຄັກ
I'm in Melaka,Location,Melaka
I'm interested in Turkish,Cuisine,Turkish
Living in Hpa An,Location,Hpa An
I want to spend around 297,Money,297
I want to spend around 381,Money,381
I'm looking for Sisig,Cuisine,Sisig
Living in Miri,Location,Miri
My favorite is ထမင်းပါသော ဟင်းလျာများ,Cuisine,ထမင်းပါသော ဟင်းလျာများ
I'm looking for something within 802,Money,802
I'm ready to spend 936,Money,936
My favorite is Fast food,Cuisine,Fast food
I'm in Sheikhupura,Location,Sheikhupura
I have 574 to spend,Money,574
I'm craving Halétel,Cuisine,Halétel
Currently in Chiayi City,Location,Chiayi City
I want to spend around 264,Money,264
I live in Prešov,Location,Prešov
Living in Cebu City Cebu,Location,Cebu City Cebu
Let's go for Snacks,Cuisine,Snacks
I want to try Spanyol,Cuisine,Spanyol
I live in New Taipei City,Location,New Taipei City
Trnava is my current Trnava,Location,Trnava
I'm in the mood for အီတလီအစားအစာ,Cuisine,အီတလီအစားအစာ
I'm comfortable spending 580,Money,580
My location is Chai Nat,Location,Chai Nat
I'm interested in Mexická,Cuisine,Mexická
I have around 364 for the meal,Money,364
I can afford 428,Money,428
Rawang is where I live,Location,Rawang
I'm looking for Meat,Cuisine,Meat
I want to spend around 799,Money,799
I'm ready to spend 598,Money,598
Currently in Yilan County,Location,Yilan County
I'm looking for Laksa,Cuisine,Laksa
Chicken Rice is my favorite,Cuisine,Chicken Rice
I'm willing to pay 559,Money,559
Let's go for Fast food,Cuisine,Fast food
I want to spend around 284,Money,284
I'm located in Nakhon Ratchasima,Location,Nakhon Ratchasima
I want to spend around 63,Money,63
I would like Grill cuisine,Cuisine,Grill
My favorite is Lebanese,Cuisine,Lebanese
My favorite is Thai,Cuisine,Thai
Saraburi is my home,Location,Saraburi
My favorite is Tészta,Cuisine,Tészta
I'm looking for ကြက်ကြော်,Cuisine,ကြက်ကြော်
I'm in the mood for ອີຕາລີ,Cuisine,ອີຕາລີ
I'm craving Burgery,Cuisine,Burgery
My favorite is Cakes & Bakery,Cuisine,Cakes & Bakery
I'm in the mood for Tészta,Cuisine,Tészta
Pyin Oo Lwin is my location,Location,Pyin Oo Lwin
I'm ready to spend 477,Money,477
I live in Muallim,Location,Muallim
Chanthaburi is my place,Location,Chanthaburi
Currently in Trnava,Location,Trnava
I'm comfortable spending 62,Money,62
I'm comfortable spending 154,Money,154
I have 270 to spend,Money,270
I live in Feni,Location,Feni
I want to spend around 910,Money,910
I can afford 56,Money,56
My budget is 362,Money,362
I'm comfortable spending 287,Money,287
I'm craving Satay,Cuisine,Satay
I have 163 to spend,Money,163
I'm looking for something within 841,Money,841
東南亞 is my favorite,Cuisine,東南亞
Siem Reap is my current Siem Reap,Location,Siem Reap
I have around 68 for the meal,Money,68
Living in Pabna,Location,Pabna
Preah Sihanouk is my place,Location,Preah Sihanouk
I have around 563 for the meal,Money,563
I love Turkish food,Cuisine,Turkish
I love Sandwich food,Cuisine,Sandwich
Tainan City is where I live,Location,Tainan City
Bangkok is my home,Location,Bangkok
I'm in Kecskemét,Location,Kecskemét
Rayong is where I reside,Location,Rayong
I love အသင့်စားအစားအစာ food,Cuisine,အသင့်စားအစားအစာ
I have 636 to spend,Money,636
Currently in Lapu-Lapu City Cebu,Location,Lapu-Lapu City Cebu
In Ormoc Leyte right now,Location,Ormoc Leyte
I would like Francúzska cuisine,Cuisine,Francúzska
Tak is my home,Location,Tak
I want to spend around 164,Money,164
I'm looking for something within 588,Money,588
I'm willing to pay 385,Money,385
I want to try Sandwich,Cuisine,Sandwich
I'm looking for Kínai,Cuisine,Kínai
How about ຝຣັ່ງ,Cuisine,ຝຣັ່ງ
I love Poke Bowl food,Cuisine,Poke Bowl
I'm located in Khammouane,Location,Khammouane
Ice Cream is my favorite,Cuisine,Ice Cream
I want to try Čínska,Cuisine,Čínska
I'm ready to spend 316,Money,316
I reside in Satun,Location,Satun
Sepang is my place,Location,Sepang
Hailing from Kampong Speu,Location,Kampong Speu
Comilla is my home,Location,Comilla
Seremban is my current Seremban,Location,Seremban
Let's go for Greek,Cuisine,Greek
I'm interested in Muslim Cuisine,Cuisine,Muslim Cuisine
Amerikai is my favorite,Cuisine,Amerikai
I am currently living in Malolos Bulacan,Location,Malolos Bulacan
I'm looking for Mexican,Cuisine,Mexican
I'm in Munshiganj,Location,Munshiganj
I'm looking for something within 740,Money,740
I can afford 737,Money,737
Filipino is my favorite,Cuisine,Filipino
How about Southern Thai,Cuisine,Southern Thai
Nilphamari is where I reside,Location,Nilphamari
Maha Sarakham is where I reside,Location,Maha Sarakham
I'm in Penghu County,Location,Penghu County
In Makati City right now,Location,Makati City
I reside in Budapest,Location,Budapest
In Buriram right now,Location,Buriram
I would like Fagyi cuisine,Cuisine,Fagyi
I'm interested in Greek,Cuisine,Greek
I reside in Budaörs,Location,Budaörs
I have around 613 for the meal,Money,613
Hailing from New Taipei City,Location,New Taipei City
How about Cha Chaan Teng,Cuisine,Cha Chaan Teng
I want to try ຝຣັ່ງ,Cuisine,ຝຣັ່ງ
Xayaboury is my home,Location,Xayaboury
I would like International cuisine,Cuisine,International
I'm comfortable spending 877,Money,877
Naogaon is where I live,Location,Naogaon
Karachi is my current location,Location,Karachi
I can afford 155,Money,155
I love Sisig food,Cuisine,Sisig
I'm craving ເບີເກີ,Cuisine,ເບີເກີ
San Juan is my home,Location,San Juan
I can afford 415,Money,415
I'm looking for Egészséges ételek,Cuisine,Egészséges ételek
I would like Saláta cuisine,Cuisine,Saláta
My home Sherpur is Sherpur,Location,Sherpur
My current Chiang Mai is Chiang Mai,Location,Chiang Mai
I can spend up to 786,Money,786
I can afford 45,Money,45
I'm looking for something within 802,Money,802
I'm willing to pay 397,Money,397
My current Chiang Mai is Chiang Mai,Location,Chiang Mai
My home Sukkur is Sukkur,Location,Sukkur
In Mudon right now,Location,Mudon
From Kishoreganj here,Location,Kishoreganj
I can spend up to 242,Money,242
I live in Sadiqabad,Location,Sadiqabad
I'm comfortable spending 625,Money,625
From Sukkur here,Location,Sukkur
I'm looking for something within 870,Money,870
Kuala Pilah is my location,Location,Kuala Pilah
I'm in the mood for Alcohol,Cuisine,Alcohol
I can afford 670,Money,670
I'm in the mood for ပီဇာ,Cuisine,ပီဇာ
My current Sungai Petani is Sungai Petani,Location,Sungai Petani
My location is Jamalpur,Location,Jamalpur
My budget is 555,Money,555
I have around 815 for the meal,Money,815
Hailing from Taitung County,Location,Taitung County
I'm looking for Southeast Asian,Cuisine,Southeast Asian
I can spend up to 775,Money,775
My favorite is Vegan,Cuisine,Vegan
I'm comfortable spending 190,Money,190
My favorite is ມັງສະວີລັດ,Cuisine,ມັງສະວີລັດ
I want to spend around 493,Money,493
I would like Fusion cuisine,Cuisine,Fusion
I'm interested in ຝຣັ່ງ,Cuisine,ຝຣັ່ງ
I enjoy ອາຫານຈານດ່ວນ,Cuisine,ອາຫານຈານດ່ວນ
I can afford 816,Money,816
Pabna is where I live,Location,Pabna
My location is Bagerhat,Location,Bagerhat
I live in Quezon City,Location,Quezon City
I want to spend around 307,Money,307
I'm in the mood for မလေးရှားအစားအစာ,Cuisine,မလေးရှားအစားအစာ
My location is Pyin Oo Lwin,Location,Pyin Oo Lwin
Living in Xiengkhuang,Location,Xiengkhuang
I can afford 704,Money,704
I love Vietnamská food,Cuisine,Vietnamská
I want to spend around 424,Money,424
Phnom Penh is my place,Location,Phnom Penh
I'm ready to spend 812,Money,812
I'm looking for ထမင်းပါသော ဟင်းလျာများ,Cuisine,ထမင်းပါသော ဟင်းလျာများ
My budget is 890,Money,890
I would like Tom Yum cuisine,Cuisine,Tom Yum
I'm interested in အချိုပွဲများ,Cuisine,အချိုပွဲများ
I have 132 to spend,Money,132
I'm in Kampong Cham,Location,Kampong Cham
Let's go for Korean,Cuisine,Korean
I am currently living in Liptovský Mikuláš,Location,Liptovský Mikuláš
I love Pancakes & Waffles food,Cuisine,Pancakes & Waffles
I'm interested in Greek,Cuisine,Greek
I'm looking for something within 335,Money,335
I live in Nilphamari,Location,Nilphamari
Currently in Yunlin County,Location,Yunlin County
Luangnamtha is my current Luangnamtha,Location,Luangnamtha
Hailing from Poprad,Location,Poprad
I have 788 to spend,Money,788
I'm comfortable spending 358,Money,358
I'm ready to spend 233,Money,233
I'm ready to spend 983,Money,983
In Kalasin right now,Location,Kalasin
From Sitiawan here,Location,Sitiawan
I'm looking for အင်ဒိုနီးရှားအစားအစာ,Cuisine,အင်ဒိုနီးရှားအစားအစာ
I reside in Barisal,Location,Barisal
Sukhothai is my home,Location,Sukhothai
I'm ready to spend 327,Money,327
I reside in Kaohsiung City,Location,Kaohsiung City
I'm ready to spend 796,Money,796
I live in Mardan,Location,Mardan
I enjoy Continental,Cuisine,Continental
I can spend up to 201,Money,201
My location is Chandpur,Location,Chandpur
I reside in Singapore,Location,Singapore
I'm located in Kecskemét,Location,Kecskemét
How about Hamburger,Cuisine,Hamburger
My current Prachinburi is Prachinburi,Location,Prachinburi
I have around 161 for the meal,Money,161
I'm looking for something within 96,Money,96
My budget is 994,Money,994
I'm craving Shanghainese,Cuisine,Shanghainese
I'm comfortable spending 323,Money,323
Banteay Meanchey is my current location,Location,Banteay Meanchey
I can spend up to 172,Money,172
I'm looking for something within 832,Money,832
Grécka is my favorite,Cuisine,Grécka
I can spend up to 237,Money,237
I can spend up to 286,Money,286
Luangnamtha is my home,Location,Luangnamtha
I love Lechon food,Cuisine,Lechon
Nakhon Nayok is my current Nakhon Nayok,Location,Nakhon Nayok
I love ຕາເວັນຕົກ food,Cuisine,ຕາເວັນຕົກ
Phra Nakhon Si Ayutthaya is my location,Location,Phra Nakhon Si Ayutthaya
I'm willing to pay 382,Money,382
I'm looking for ອາຫານເພື່ອສຸຂະພາບ,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
I'm willing to pay 319,Money,319
I can afford 469,Money,469
I'm in Sibu,Location,Sibu
I can spend up to 271,Money,271
My home Petaling Jaya is Petaling Jaya,Location,Petaling Jaya
I want to spend around 67,Money,67
I have 968 to spend,Money,968
Let's go for ဟင်းလျာ,Cuisine,ဟင်းလျာ
I can afford 965,Money,965
I'm comfortable spending 262,Money,262
I would like Juice Corner cuisine,Cuisine,Juice Corner
I can afford 578,Money,578
I'm interested in Roti Canai,Cuisine,Roti Canai
I can spend up to 433,Money,433
I enjoy Indonesian,Cuisine,Indonesian
I want to try ພິຊຊ່າ,Cuisine,ພິຊຊ່າ
I'm comfortable spending 543,Money,543
How about French,Cuisine,French
I'm willing to pay 570,Money,570
I'm interested in Cart Noodles,Cuisine,Cart Noodles
I'm in Lampang,Location,Lampang
I can spend up to 943,Money,943
I'm comfortable spending 484,Money,484
I'm ready to spend 535,Money,535
I'm ready to spend 939,Money,939
Grill is my favorite,Cuisine,Grill
Milk Tea is my favorite,Cuisine,Milk Tea
I'm craving ငါး,Cuisine,ငါး
I can spend up to 742,Money,742
I can afford 160,Money,160
I'm ready to spend 991,Money,991
I have 122 to spend,Money,122
How about အသုပ်များ,Cuisine,အသုပ်များ
I'm ready to spend 140,Money,140
I'm interested in Milk Tea,Cuisine,Milk Tea
How about 歐美,Cuisine,歐美
I'm craving Middle Eastern,Cuisine,Middle Eastern
I am currently living in Vientiane Capital,Location,Vientiane Capital
Marikina is my home,Location,Marikina
My current Bratislava is Bratislava,Location,Bratislava
I enjoy Török,Cuisine,Török
Islamabad is where I reside,Location,Islamabad
My favorite is Orosz,Cuisine,Orosz
Let's go for Roti Canai,Cuisine,Roti Canai
Bayan Baru is my current location,Location,Bayan Baru
I have 430 to spend,Money,430
My home Gujrat is Gujrat,Location,Gujrat
I can spend up to 355,Money,355
I'm interested in Vegan,Cuisine,Vegan
Let's go for Amerikai,Cuisine,Amerikai
I can spend up to 49,Money,49
ແມັກຊິໂກ is my favorite,Cuisine,ແມັກຊິໂກ
I live in Kuala Lumpur,Location,Kuala Lumpur
I love Halo-Halo food,Cuisine,Halo-Halo
My home Nové Zámky is Nové Zámky,Location,Nové Zámky
Tangail is my current location,Location,Tangail
I'm in the mood for Spanyol,Cuisine,Spanyol
My location is Rahim Yar Khan,Location,Rahim Yar Khan
I'm willing to pay 71,Money,71
Makati City is my place,Location,Makati City
Let's go for Indonesian,Cuisine,Indonesian
Putrajaya is my home,Location,Putrajaya
I'm in the mood for ວີເກັນ,Cuisine,ວີເກັນ
My current Petaling Jaya is Petaling Jaya,Location,Petaling Jaya
I'm looking for Szerb,Cuisine,Szerb
I want to spend around 700,Money,700
I'm comfortable spending 154,Money,154
I'm located in Segamat,Location,Segamat
Mersing is where I reside,Location,Mersing
I'm willing to pay 452,Money,452
I want to spend around 364,Money,364
I'm looking for ကိတ်များ,Cuisine,ကိတ်များ
I can afford 406,Money,406
Songkhla is my place,Location,Songkhla
I am currently living in Banteay Meanchey,Location,Banteay Meanchey
I have 211 to spend,Money,211
In Penghu County right now,Location,Penghu County
Living in Miskolc,Location,Miskolc
My location is Chiayi City,Location,Chiayi City
I'm craving ອາເມລິກາ,Cuisine,ອາເມລິກາ
Peshawar is where I live,Location,Peshawar
I love ဂျပန်အစားအစာ food,Cuisine,ဂျပန်အစားအစာ
I'm looking for something within 947,Money,947
Quetta is my place,Location,Quetta
I have around 651 for the meal,Money,651
I love Wraps and Rolls food,Cuisine,Wraps and Rolls
My location is Sandakan,Location,Sandakan
I want to spend around 840,Money,840
I love Fish food,Cuisine,Fish
I'm looking for Ice Cream,Cuisine,Ice Cream
My current Pasig City is Pasig City,Location,Pasig City
I'm interested in Európska,Cuisine,Európska
I'm looking for something within 106,Money,106
I enjoy Snacks,Cuisine,Snacks
I can spend up to 472,Money,472
I want to try Indiai,Cuisine,Indiai
I enjoy Halo-Halo,Cuisine,Halo-Halo
Islamabad is my current location,Location,Islamabad
How about Japonská,Cuisine,Japonská
My budget is 949,Money,949
I can afford 283,Money,283
Living in Bratislava,Location,Bratislava
I want to spend around 676,Money,676
I'm interested in Leves,Cuisine,Leves
Nakhon Phanom is my place,Location,Nakhon Phanom
My current Chiang Mai is Chiang Mai,Location,Chiang Mai
I'm located in Trenčín,Location,Trenčín
I want to spend around 497,Money,497
I live in Kluang,Location,Kluang
Krabi is my home,Location,Krabi
How about Turkish,Cuisine,Turkish
Taitung County is my home,Location,Taitung County
Living in Shah Alam,Location,Shah Alam
I enjoy Mexican,Cuisine,Mexican
Szombathely is where I reside,Location,Szombathely
I'm in Nilphamari,Location,Nilphamari
I live in Savannakhet,Location,Savannakhet
I reside in Nakhon Ratchasima,Location,Nakhon Ratchasima
I'm in Uthai Thani,Location,Uthai Thani
I enjoy Fries,Cuisine,Fries
I can spend up to 974,Money,974
Let's go for Burgery,Cuisine,Burgery
I'm looking for something within 126,Money,126
I'm in the mood for ອາຊີ,Cuisine,ອາຊີ
My favorite is Dessert,Cuisine,Dessert
I would like Chinese cuisine,Cuisine,Chinese
Bago is my home,Location,Bago
I can afford 487,Money,487
I'm comfortable spending 927,Money,927
Hailing from Chon Buri,Location,Chon Buri
My location is Khammouane,Location,Khammouane
Hailing from Kushtia,Location,Kushtia
I would like အ‌ရှေ့တောင်အာရှအစားအစာ cuisine,Cuisine,အ‌ရှေ့တောင်အာရှအစားအစာ
Khammouane is my location,Location,Khammouane
I have around 764 for the meal,Money,764
I'm located in Mudon,Location,Mudon
I have around 529 for the meal,Money,529
I'm craving ဆူရှီ,Cuisine,ဆူရှီ
How about Southern Thai,Cuisine,Southern Thai
I'm willing to pay 148,Money,148
My budget is 396,Money,396
Phayao is my home,Location,Phayao
I live in Sukhothai,Location,Sukhothai
I have 107 to spend,Money,107
ລາວ is my favorite,Cuisine,ລາວ
Let's go for အာရှ,Cuisine,အာရှ
I'm in Savannakhet,Location,Savannakhet
Kuching is my current Kuching,Location,Kuching
I would like Juice Corner cuisine,Cuisine,Juice Corner
I have 332 to spend,Money,332
I'm willing to pay 215,Money,215
Let's go for Blízkovýchodná,Cuisine,Blízkovýchodná
I'm looking for Ulam,Cuisine,Ulam
I want to spend around 52,Money,52
I'm located in Krabi,Location,Krabi
Szentendre is where I reside,Location,Szentendre
I'm in Phetchabun,Location,Phetchabun
I have 761 to spend,Money,761
I have 841 to spend,Money,841
I'm looking for something within 551,Money,551
I'm in the mood for Grúz,Cuisine,Grúz
I'm ready to spend 946,Money,946
I'm looking for something within 378,Money,378
I'm interested in ထမင်းပါသော ဟင်းလျာများ,Cuisine,ထမင်းပါသော ဟင်းလျာများ
Hailing from Keelung City,Location,Keelung City
Dagupan Pangasinan is my location,Location,Dagupan Pangasinan
I can afford 561,Money,561
I want to spend around 533,Money,533
I'm in the mood for Česká,Cuisine,Česká
Jhenaidah is where I reside,Location,Jhenaidah
Halétel is my favorite,Cuisine,Halétel
Currently in Lopburi,Location,Lopburi
Hyderabad is my current Hyderabad,Location,Hyderabad
My home Mymensingh is Mymensingh,Location,Mymensingh
I'm looking for something within 480,Money,480
I'm comfortable spending 178,Money,178
My favorite is Southeast Asian,Cuisine,Southeast Asian
ຊູຊິ is my favorite,Cuisine,ຊູຊິ
I'm in the mood for Drinks,Cuisine,Drinks
I'm interested in Roti Canai,Cuisine,Roti Canai
I'm located in Kampot,Location,Kampot
Noakhali is where I live,Location,Noakhali
Trang is where I live,Location,Trang
I'm looking for Singaporean,Cuisine,Singaporean
I'm comfortable spending 702,Money,702
My favorite is 異國,Cuisine,異國
I want to try Nasi Lemak,Cuisine,Nasi Lemak
Living in Nantou County,Location,Nantou County
I'm in the mood for Tenger gyümölcsei,Cuisine,Tenger gyümölcsei
I have 557 to spend,Money,557
I'm ready to spend 143,Money,143
I can afford 361,Money,361
Bahawalpur is my home,Location,Bahawalpur
I want to spend around 519,Money,519
I'm looking for Chicken Chop,Cuisine,Chicken Chop
My budget is 809,Money,809
I want to spend around 288,Money,288
I'm in the mood for Talianska,Cuisine,Talianska
I'm willing to pay 797,Money,797
I'm craving ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ,Cuisine,ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ
I'm willing to pay 862,Money,862
Living in Gazipur,Location,Gazipur
I'm interested in Tenger gyümölcsei,Cuisine,Tenger gyümölcsei
Kampong Cham is my location,Location,Kampong Cham
My home Nitra is Nitra,Location,Nitra
I'm in Keelung City,Location,Keelung City
I'm located in Khon Kaen,Location,Khon Kaen
I'm willing to pay 782,Money,782
Jhenaidah is where I live,Location,Jhenaidah
I have 856 to spend,Money,856
I'm in Sargodha,Location,Sargodha
I'm looking for something within 710,Money,710
I can afford 218,Money,218
I'm ready to spend 337,Money,337
I love Grúz food,Cuisine,Grúz
I'm ready to spend 210,Money,210
I'm craving Filipino,Cuisine,Filipino
ပီဇာ is my favorite,Cuisine,ပီဇာ
I have 827 to spend,Money,827
I reside in Uthai Thani,Location,Uthai Thani
I'm interested in 日式,Cuisine,日式
I would like Southeast Asian cuisine,Cuisine,Southeast Asian
I have 420 to spend,Money,420
I have around 603 for the meal,Money,603
Pécs is my place,Location,Pécs
I'm craving Seafood,Cuisine,Seafood
Prachuap Khiri Khan is my home,Location,Prachuap Khiri Khan
I want to try 素食,Cuisine,素食
I reside in Yilan County,Location,Yilan County
I'm willing to pay 572,Money,572
I'm willing to pay 727,Money,727
I enjoy ထမင်းပါသော ဟင်းလျာများ,Cuisine,ထမင်းပါသော ဟင်းလျာများ
I want to try Asian,Cuisine,Asian
I'm ready to spend 517,Money,517
I'm in Prešov,Location,Prešov
I'm craving ဆန်ပြုတ်,Cuisine,ဆန်ပြုတ်
Currently in Mardan,Location,Mardan
I have 419 to spend,Money,419
I'm ready to spend 928,Money,928
I'm willing to pay 361,Money,361
In Nakhon Nayok right now,Location,Nakhon Nayok
My location is Budaörs,Location,Budaörs
I'm comfortable spending 127,Money,127
Saraburi is my home,Location,Saraburi
Hailing from Changhua County,Location,Changhua County
From Mudon here,Location,Mudon
I have 737 to spend,Money,737
Living in Quetta,Location,Quetta
My home Puchong is Puchong,Location,Puchong
I enjoy ເກົາຫຼີ,Cuisine,ເກົາຫຼີ
Living in Chai Nat,Location,Chai Nat
From Taung Gyi here,Location,Taung Gyi
Islamabad is where I reside,Location,Islamabad
I'm ready to spend 841,Money,841
I can spend up to 544,Money,544
From Nakhon Si Thammarat here,Location,Nakhon Si Thammarat
ຟີລິບປິນ is my favorite,Cuisine,ຟີລິບປິນ
I'm comfortable spending 655,Money,655
My budget is 305,Money,305
I'm looking for something within 352,Money,352
I reside in Budaörs,Location,Budaörs
I'm comfortable spending 270,Money,270
台式 is my favorite,Cuisine,台式
I love BBQ food,Cuisine,BBQ
I would like Ice Cream cuisine,Cuisine,Ice Cream
I can afford 38,Money,38
I'm in the mood for Nasi Lemak,Cuisine,Nasi Lemak
I am currently living in Rajshahi,Location,Rajshahi
I want to try Taiwanese,Cuisine,Taiwanese
My home Liptovský Mikuláš is Liptovský Mikuláš,Location,Liptovský Mikuláš
I want to try Ayam Penyet,Cuisine,Ayam Penyet
I am currently living in Taung Gyi,Location,Taung Gyi
I would like အသုပ်များ cuisine,Cuisine,အသုပ်များ
I live in Chiang Mai,Location,Chiang Mai
I'm looking for something within 243,Money,243
I am currently living in Mardan,Location,Mardan
Faisalabad is where I live,Location,Faisalabad
ແມັກຊິໂກ is my favorite,Cuisine,ແມັກຊິໂກ
Cyberjaya is my current location,Location,Cyberjaya
I'm located in Islamabad,Location,Islamabad
Rawang is my location,Location,Rawang
How about ဗီယက်နမ်အစားအစာ,Cuisine,ဗီယက်နမ်အစားအစာ
I'm looking for Chicken,Cuisine,Chicken
I reside in Jamalpur,Location,Jamalpur
I'm located in Kushtia,Location,Kushtia
I can afford 128,Money,128
I live in Kalasin,Location,Kalasin
ပင်လယ်စာ is my favorite,Cuisine,ပင်လယ်စာ
I have around 833 for the meal,Money,833
I can spend up to 541,Money,541
I would like Ulam cuisine,Cuisine,Ulam
I enjoy Noodles,Cuisine,Noodles
Banteay Meanchey is where I live,Location,Banteay Meanchey
My home Nové Zámky is Nové Zámky,Location,Nové Zámky
I'm comfortable spending 628,Money,628
I reside in Taitung County,Location,Taitung County
I am currently living in Mersing,Location,Mersing
I'm in Suphan Buri,Location,Suphan Buri
My location is Temerloh,Location,Temerloh
I would like Kínai cuisine,Cuisine,Kínai
I'm looking for something within 492,Money,492
I'm looking for something within 134,Money,134
I'm looking for something within 919,Money,919
From Penghu County here,Location,Penghu County
I love Mexická food,Cuisine,Mexická
I'm located in Hsinchu City,Location,Hsinchu City
I'm in the mood for Čínska,Cuisine,Čínska
I want to try ເຄັກ,Cuisine,ເຄັກ
My budget is 419,Money,419
I would like Amerikai cuisine,Cuisine,Amerikai
I want to try Chicken Rice,Cuisine,Chicken Rice
Currently in Sungai Petani,Location,Sungai Petani
My budget is 752,Money,752
I'm looking for Middle Eastern,Cuisine,Middle Eastern
From Nakhon Phanom here,Location,Nakhon Phanom
I'm looking for something within 875,Money,875
Zvolen is where I live,Location,Zvolen
I would like Turkish cuisine,Cuisine,Turkish
I have around 306 for the meal,Money,306
How about ເຄື່ອງດື່ມ,Cuisine,ເຄື່ອງດື່ມ
My home Pursat is Pursat,Location,Pursat
Hailing from Chon Buri,Location,Chon Buri
I love Salads food,Cuisine,Salads
ထိုင်းအစားအစာ is my favorite,Cuisine,ထိုင်းအစားအစာ
Pancakes & Waffles is my favorite,Cuisine,Pancakes & Waffles
I'm comfortable spending 673,Money,673
From Narsingdi here,Location,Narsingdi
I'm craving Coffee,Cuisine,Coffee
Let's go for ແມັກຊິໂກ,Cuisine,ແມັກຊິໂກ
I enjoy Nápoje,Cuisine,Nápoje
I can afford 417,Money,417
I'm comfortable spending 854,Money,854
I'm interested in Soups,Cuisine,Soups
Nasi Lemak is my favorite,Cuisine,Nasi Lemak
I have around 852 for the meal,Money,852
I'm craving Nápoje,Cuisine,Nápoje
I'm looking for Chicken Chop,Cuisine,Chicken Chop
I have around 219 for the meal,Money,219
Chiayi City is where I live,Location,Chiayi City
I'm comfortable spending 336,Money,336
I'm willing to pay 83,Money,83
My current Tainan City is Tainan City,Location,Tainan City
I'm ready to spend 613,Money,613
I have around 48 for the meal,Money,48
I would like Alcohol cuisine,Cuisine,Alcohol
My budget is 218,Money,218
I have around 629 for the meal,Money,629
HK Dessert is my favorite,Cuisine,HK Dessert
Living in Kampong Speu,Location,Kampong Speu
I can afford 241,Money,241
Görög is my favorite,Cuisine,Görög
I reside in Feni,Location,Feni
I have around 445 for the meal,Money,445
Zvolen is my current location,Location,Zvolen
I'm looking for something within 668,Money,668
Currently in Barisal,Location,Barisal
I'm in Quetta,Location,Quetta
Islamabad is my place,Location,Islamabad
Currently in Kalaw,Location,Kalaw
Kluang is where I live,Location,Kluang
I want to spend around 870,Money,870
I'm craving British,Cuisine,British
My budget is 826,Money,826
My budget is 972,Money,972
My favorite is Thajská,Cuisine,Thajská
Sukhothai is my current location,Location,Sukhothai
Currently in Huaphanh,Location,Huaphanh
Bintulu is where I reside,Location,Bintulu
I am currently living in Martin,Location,Martin
Nasi Kerabu is my favorite,Cuisine,Nasi Kerabu
I'm interested in Gyros,Cuisine,Gyros
I'm looking for something within 897,Money,897
I love ပင်လယ်စာ food,Cuisine,ပင်လယ်စာ
I am currently living in Lahore,Location,Lahore
I'm in the mood for Česká,Cuisine,Česká
I enjoy ກາເຟ & ຊາ,Cuisine,ກາເຟ & ຊາ
Let's go for Mexická,Cuisine,Mexická
I'm looking for Steak,Cuisine,Steak
My budget is 615,Money,615
I can spend up to 178,Money,178
How about Orosz,Cuisine,Orosz
I can spend up to 863,Money,863
Muntinlupa City is my current Muntinlupa City,Location,Muntinlupa City
Living in Attapeu,Location,Attapeu
My favorite is Turecká,Cuisine,Turecká
